Name,Price,Author,Date,Publisher,Comment,sales
深入理解XGBoost：高效机器学习算法与进阶 ,78.2,何龙,12/12/2019,机械工业出版社,339,78019
大数据与机器学习：复杂社会的政治分析 ,59.9,董青岭,2/1/2019,时事出版社,126,232690
机器学习与应用 ,109,雷明,12/29/2018,清华大学出版社,859,215859
机器学习案例分析（基于Python语言）,77.1,王恺,3/1/2020,电子工业出版社,54,30068
终身机器学习（原书第2版） ,61.6,陈志源,8/14/2019,机械工业出版社,222,217175
机器学习导论(原书第3版) ,62.4,埃塞姆,1/8/2016,机械工业出版社,1784,69483
机器学习及其应用2019,54.5,于剑,12/1/2019,清华大学出版社,54,96926
Keras深度学习 ,61.1,鲁睿元,11/1/2019,水利水电出版社,287,239024
大话数据科学——大数据与机器学习实战（基于R语言） ,88.3,陈文贤,7/1/2020,清华大学出版社,1,4095
机器学习实践：数据科学应用与工作流的开发及优化 ,78.2,安德鲁·凯莱赫,4/21/2020,机械工业出版社,28,59513
深入浅出Python机器学习 ,54.5,段小手,7/14/2018,清华大学出版社,1816,31485
机器学习及其应用2017,45.8,高阳,11/1/2017,清华大学出版社,48,103904
从机器学习到无人驾驶 ,68.3,宋哲贤,5/1/2020,清华大学出版社,12,139332
R语言机器学习 ,68.7,布雷特·兰茨,4/1/2017,东南大学出版社,40,14020
TensorFlow机器学习实战指南（原书第2版） ,70.3,尼克·麦克卢尔,7/25/2019,机械工业出版社,132,11475
机器学习即服务：将Python机器学习创意快速转变为云端Web应用程序 ,78.2,曼纽尔·阿米纳特吉,6/13/2019,机械工业出版社,117,295328
机器学习精讲：基础、算法及应用,57.2,杰瑞米·瓦特,11/1/2018,机械工业出版社,447,127442
MATLAB机器学习：人工智能工程实践（原书第2版） ,61.4,迈克尔·帕拉斯泽克,3/20/2020,机械工业出版社,176,188076
Python机器学习和图像处理实战 ,55.1,希曼舒·辛格,12/8/2019,清华大学出版社,237,121995
机器学习：贝叶斯和优化方法（英文版） ,217.1,西格尔斯·西奥多里蒂斯,5/22/2017,机械工业出版社,370,45190
机器学习与优化 ,61.4,罗伯托·巴蒂蒂,5/1/2018,人民邮电出版社,401,25729
scikit-learn机器学习 ,39.6,加文·海克,2/1/2019,人民邮电出版社,796,219771
机器学习互联网业务安全实践,117.8,王帅,9/1/2019,电子工业出版社,95,254114
高效机器学习：理论、算法及实践 ,58.6,玛丽特·阿瓦德,10/25/2017,机械工业出版社,84,103246
机器学习：从公理到算法 ,55.2,于剑,7/19/2017,清华大学出版社,514,158165
机器学习与深度学习：通过C语言模拟 ,46.6,小高知宏,6/29/2018,机械工业出版社,205,224314
机器学习——Python实践 ,46.6,魏贞原,1/1/2018,电子工业出版社,1227,217754
统计强化学习：现代机器学习方法 ,62.4,杉山将,5/15/2019,机械工业出版社,433,137364
机器学习实践应用 ,54.5,李博,6/1/2017,人民邮电出版社,654,43240
机器学习统计学（影印版）,77.4,普拉塔普·丹格迪,8/1/2018,东南大学出版社,97,38945
机器学习：Go语言实现 ,48.9,丹尼尔·怀特纳克,11/5/2018,机械工业出版社,136,63314
统计机器学习导论 ,75.6,杉山将,5/5/2018,机械工业出版社,313,52991
Python机器学习算法与应用 ,47.6,邓立国,5/1/2020,清华大学出版社,5,131804
机器学习：因子分解机模型与推荐系统,68.3,燕彩蓉,6/1/2020,科学出版社,0,154496
利用机器学习开发算法交易系统 ,38.7,安明浩,5/1/2019,人民邮电出版社,156,70875
从机器学习到深度学习：基于scikit-learn与TensorFlow的高效开发实战 ,91.1,刘长龙,3/1/2019,电子工业出版社,420,165172
机器学习方法在电磁逆散射问题中的应用研究,99.5,张清河,6/1/2019,科学出版社,25,262065
Python机器学习——数据分析与评分卡建模（微课版） ,27.8,翟锟,4/12/2019,清华大学出版社,340,198096
机器学习及其应用 ,75.7,汪荣贵,8/26/2019,机械工业出版社,31,3024
机器学习系统设计：Python语言实现,46.6,戴维·朱利安,6/5/2017,机械工业出版社,265,201745
量子机器学习中数据挖掘的量子计算方法,59.2,彼得·维特克,12/1/2019,哈尔滨工业大学出版社,31,238869
机器人操作的机器学习理论——从拟人操作到技巧迁移,58.6,丁希仑,6/1/2020,科学出版社,0,32827
Python大数据分析与机器学习商业案例实战 ,68.8,王宇韬,5/28/2020,机械工业出版社,40,205855
机器学习与R语言(机器学习领域专家著作 ,54.5,兰兹,3/1/2015,机械工业出版社,909,133542
机器学习：实用案例解析（机器学习和数据挖掘领域的经典图书基础理论与实践完美的结合）,54.5,康威,4/1/2013,机械工业出版社,1676,174658
PySpark机器学习、自然语言处理与推荐系统 ,46.6,普拉莫德·辛格,12/18/2019,清华大学出版社,156,50044
机器学习与数据科学 ,46.6,Daniel,5/1/2017,人民邮电出版社,352,73154
Scala机器学习：构建现实世界机器学习和深度学习项目,78.2,雷祖尔·卡里姆,10/18/2019,机械工业出版社,79,168236
Python机器学习编程与实战,47.7,林耀进,7/1/2020,人民邮电出版社,0,206951
机器学习、深度学习与强化学习 ,46.6,林强,5/28/2019,知识产权出版社,31,281663
机器学习vs复杂系统,46.6,许铁,7/1/2018,电子工业出版社,178,259388
基于R语言的机器学习,40,斯科特,12/12/2018,中国电力出版社,320,253427
机器学习导论 ,62.4,米罗斯拉夫·库巴特,11/9/2016,机械工业出版社,379,115212
机器学习 ,46.6,马西,4/1/2018,人民邮电出版社,124,262031
